Supplement,Mentioned_Supplements,Average_Individual_Sentiment,Average_Combination_Sentiment,Difference
CBD Oil,theanine,1.9978197674418605,1.6,-0.39781976744186043
CBD Oil,tryptophan,1.9978197674418605,2.090909090909091,0.09308932346723031
CBD Oil,valerian root,1.9978197674418605,1.7375,-0.2603197674418605
CBD Oil,vitamin d,1.9978197674418605,2.0,0.0021802325581394832
CBD Oil,zinc,1.9978197674418605,1.7142857142857142,-0.2835340531561463
Calcium,5-htp,2.2643312101910826,2.0,-0.26433121019108263
Calcium,ashwagandha,2.2643312101910826,1.6666666666666667,-0.5976645435244159
Calcium,chamomile,2.2643312101910826,2.3636363636363638,0.09930515344528112
Calcium,glycine,2.2643312101910826,2.5,0.23566878980891737
Calcium,kava,2.2643312101910826,3.4444444444444446,1.180113234253362
Calcium,lavender,2.2643312101910826,2.5714285714285716,0.307097361237489
Calcium,lemon balm,2.2643312101910826,2.142857142857143,-0.12147406733393984
Calcium,magnesium,2.2643312101910826,2.306451612903226,0.042120402712143346
Calcium,magnolia bark,2.2643312101910826,2.5,0.23566878980891737
Calcium,melatonin,2.2643312101910826,1.8857142857142857,-0.37861692447679696
Calcium,passion flower,2.2643312101910826,2.4,0.13566878980891728
Calcium,potassium,2.2643312101910826,2.1818181818181817,-0.08251302837290098
Calcium,skullcap,2.2643312101910826,3.0,0.7356687898089174
Calcium,theanine,2.2643312101910826,2.2,-0.06433121019108246
Calcium,tryptophan,2.2643312101910826,2.6666666666666665,0.4023354564755839
Calcium,valerian root,2.2643312101910826,1.9333333333333333,-0.3309978768577493
Calcium,vitamin d,2.2643312101910826,1.1875,-1.0768312101910826
Calcium,zinc,2.2643312101910826,2.4864864864864864,0.22215527629540377
California Poppy,5-htp,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,amanita,2.3095238095238093,4.0,1.6904761904761907
California Poppy,ashwagandha,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,black seed oil,2.3095238095238093,1.5,-0.8095238095238093
California Poppy,cbd oil,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,chamomile,2.3095238095238093,2.6666666666666665,0.3571428571428572
California Poppy,glycine,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,kava,2.3095238095238093,1.8571428571428572,-0.4523809523809521
California Poppy,lavender,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,lemon balm,2.3095238095238093,1.9090909090909092,-0.40043290043290014
California Poppy,magnesium,2.3095238095238093,2.3,-0.00952380952380949
California Poppy,magnolia bark,2.3095238095238093,1.8,-0.5095238095238093
California Poppy,melatonin,2.3095238095238093,2.5833333333333335,0.27380952380952417
California Poppy,mulungu,2.3095238095238093,1.5,-0.8095238095238093
California Poppy,passion flower,2.3095238095238093,2.5454545454545454,0.2359307359307361
California Poppy,skullcap,2.3095238095238093,2.0,-0.3095238095238093
California Poppy,theanine,2.3095238095238093,1.0,-1.3095238095238093
California Poppy,valerian root,2.3095238095238093,2.3,-0.00952380952380949
Chamomile,5-htp,2.127183787561146,2.347826086956522,0.22064229939537583
Chamomile,amanita,2.127183787561146,4.0,1.8728162124388539
Chamomile,ashwagandha,2.127183787561146,2.607142857142857,0.4799590695817111
Chamomile,calcium,2.127183787561146,2.3636363636363638,0.23645257607521764
Chamomile,california poppy,2.127183787561146,2.6666666666666665,0.5394828791055204
Chamomile,cbd oil,2.127183787561146,2.046511627906977,-0.0806721596541693
Chamomile,glycine,2.127183787561146,2.7142857142857144,0.5871019267245683
Chamomile,kava,2.127183787561146,1.7959183673469388,-0.33126542021420735
Chamomile,lavender,2.127183787561146,2.2010309278350517,0.0738471402739056
Chamomile,lemon balm,2.127183787561146,2.5495495495495497,0.4223657619884036
Chamomile,magnesium,2.127183787561146,2.156862745098039,0.02967895753689298
Chamomile,magnolia bark,2.127183787561146,2.6,0.47281621243885397
Chamomile,melatonin,2.127183787561146,1.8327586206896551,-0.294425166871491
Chamomile,mulungu,2.127183787561146,3.0,0.8728162124388539
Chamomile,passion flower,2.127183787561146,2.1724137931034484,0.045230005542302276
Chamomile,potassium,2.127183787561146,2.1666666666666665,0.039482879105520396
Chamomile,skullcap,2.127183787561146,2.4473684210526314,0.3201846334914853
Chamomile,theanine,2.127183787561146,2.161290322580645,0.034106535019498896
Chamomile,tryptophan,2.127183787561146,1.8,-0.3271837875611461
Chamomile,valerian root,2.127183787561146,2.254054054054054,0.126870266492908
Chamomile,vitamin d,2.127183787561146,2.0,-0.12718378756114612
Chamomile,zinc,2.127183787561146,2.4545454545454546,0.32736166698430846
Glycine,5-htp,2.3197278911564627,2.2222222222222223,-0.0975056689342404
Glycine,ashwagandha,2.3197278911564627,2.1052631578947367,-0.214464733261726
